Run,Sample,t,P,d636,d628,d627
2022-09-12,LINDE,16.177160,5.012363,27.519212,16.119883,8.488505
2022-09-12,LINDE,40.602787,5.017101,27.513697,16.121351,8.484270
2022-09-12,LINDE,65.223656,5.012957,27.514839,16.132627,8.489191
2022-09-12,LINDE,89.504736,5.016213,27.519230,16.114218,8.481953
2022-09-12,LINDE,113.533123,5.017990,27.519732,16.121051,8.490273
2022-09-12,LINDE,137.454125,5.016136,27.518373,16.127505,8.489994
2022-09-12,LINDE,161.962433,5.016948,27.515664,16.117213,8.485667
2022-09-12,LINDE,185.635842,5.012072,27.521841,16.126179,8.493371
2022-09-12,LINDE,210.287223,5.018551,27.509909,16.118787,8.484899
2022-09-12,LINDE,234.777476,5.013628,27.515259,16.114489,8.481827
2022-09-12,LINDE,258.374251,5.013094,27.518169,16.121710,8.487924
2022-09-12,LINDE,282.550431,5.017473,27.516836,16.116104,8.484013
2022-09-12,LINDE,306.903159,5.019780,27.526508,16.121452,8.485585
2022-09-12,LINDE,331.056918,5.016180,27.513804,16.118876,8.485876
2022-09-12,LINDE,355.051071,5.018788,27.527257,16.131163,8.501915
2022-09-12,LINDE,379.173374,5.017982,27.510721,16.115512,8.474925
2022-09-12,LINDE,403.574474,5.011053,27.516335,16.121191,8.485684
2022-09-12,LINDE,428.185669,5.015911,27.512529,16.121100,8.484976
2022-09-12,LINDE,452.564749,5.019476,27.510565,16.114888,8.477173
2022-09-12,LINDE,476.709755,5.016959,27.507899,16.116345,8.480379
2022-09-12,LINDE,501.255134,5.019319,27.506903,16.111749,8.472914
2022-09-12,LINDE,525.805493,5.016115,27.518639,16.122349,8.487673
2022-09-12,LINDE,550.314752,5.013219,27.510406,16.113393,8.480230
2022-09-12,LINDE,573.685197,5.018293,27.514780,16.115796,8.486780
2022-09-12,LINDE,598.187800,5.014317,27.512173,16.112932,8.478868
2022-09-12,LINDE,622.641275,5.017658,27.506353,16.112683,8.478169
2022-09-12,LINDE,646.582251,5.016833,27.526204,16.127729,8.487451
2022-09-12,LINDE,671.207696,5.016884,27.522416,16.120308,8.485398
2022-09-12,LINDE,695.056888,5.012941,27.519990,16.125985,8.490200
2022-09-12,LINDE,719.519122,5.016952,27.513667,16.122458,8.488110
2022-09-12,LINDE,744.151826,5.012404,27.515668,16.116764,8.487305
2022-09-12,LINDE,768.636074,5.018974,27.522320,16.126438,8.489752
2022-09-12,LINDE,792.719132,5.013312,27.517001,16.123996,8.486592
2022-09-12,LINDE,817.295761,5.017217,27.511980,16.120602,8.489069
2022-09-12,LINDE,841.786289,5.014767,27.513290,16.121652,8.487027
2022-09-12,LINDE,865.805640,5.018678,27.513967,16.117252,8.487499
2022-09-12,LINDE,890.349141,5.014193,27.515887,16.119714,8.482910
2022-09-12,LINDE,914.910604,5.019438,27.524099,16.126258,8.489997
2022-09-12,LINDE,939.506706,5.012915,27.528523,16.136387,8.497934
2022-09-12,LINDE,963.929881,5.019143,27.527196,16.131840,8.495187
2022-09-12,LINDE,988.023724,5.011012,27.521262,16.119589,8.482186
2022-09-12,LINDE,1012.552365,5.019965,27.510685,16.116424,8.488389
2022-09-12,LINDE,1037.232380,5.015905,27.517879,16.122495,8.484662
2022-09-12,LINDE,1061.272076,5.018832,27.515662,16.115121,8.478460
2022-09-12,LINDE,1085.120361,5.014905,27.512590,16.117719,8.481869
2022-09-12,LINDE,1109.906964,5.018285,27.522448,16.126238,8.496155
2022-09-12,LINDE,1134.290946,5.014220,27.506402,16.111280,8.473599
2022-09-12,LINDE,1158.812851,5.019168,27.514838,16.124463,8.491404
2022-09-12,LINDE,1183.258328,5.018069,27.512435,16.127366,8.491006
2022-09-12,LINDE,1207.719559,5.011304,27.515292,16.127874,8.499399
2022-09-12,LINDE,1232.268689,5.016650,27.515287,16.118941,8.484339
2022-09-12,LINDE,1256.783603,5.012147,27.515488,16.114450,8.481581
2022-09-12,LINDE,1280.303116,5.018989,27.522366,16.124434,8.493987
2022-09-12,LINDE,1305.038769,5.010951,27.512171,16.116798,8.483977
2022-09-12,LINDE,1328.867169,5.016177,27.523015,16.128062,8.490821
2022-09-12,LINDE,1353.653915,5.010669,27.519953,16.123237,8.490570
2022-09-12,LINDE,1378.300188,5.016467,27.513424,16.120657,8.487625
2022-09-12,LINDE,1402.174765,5.010432,27.515538,16.117342,8.482898
2022-09-12,LINDE,1427.259413,5.016107,27.510236,16.114876,8.485240
2022-09-12,LINDE,1451.315574,5.010398,27.519599,16.123003,8.495879
2022-09-12,LINDE,1475.902488,5.016176,27.516625,16.124019,8.488524
2022-09-12,LINDE,1500.224838,5.012693,27.513003,16.118010,8.486461
2022-09-12,LINDE,1524.296443,5.018549,27.520763,16.126605,8.490141
2022-09-12,LINDE,1548.834051,5.018925,27.514435,16.117872,8.481613
2022-09-12,LINDE,1573.303082,5.014409,27.512363,16.121581,8.486834
2022-09-12,LINDE,1597.461338,5.012984,27.518178,16.121359,8.486915
2022-09-12,LINDE,1621.363947,5.016615,27.514652,16.112336,8.477226
