Run,Sample,t,P,d636,d628,d627
2022-09-12,WG,4.040574,5.021759,-0.047099,-0.010986,-0.009908
2022-09-12,LINDE,16.177160,5.012363,27.481992,16.107507,8.481828
2022-09-12,WG,28.436585,5.020634,-0.025199,-0.013340,-0.003224
2022-09-12,LINDE,40.602787,5.017101,27.491127,16.109125,8.486065
2022-09-12,WG,52.767697,5.016650,-0.018733,-0.010748,0.006771
2022-09-12,LINDE,65.223656,5.012957,27.495095,16.122310,8.493192
2022-09-12,WG,77.509833,5.023536,-0.019697,-0.009574,0.001186
2022-09-12,LINDE,89.504736,5.016213,27.498056,16.104395,8.483439
2022-09-12,WG,101.577879,5.021966,-0.021497,-0.009744,0.001805
2022-09-12,LINDE,113.533123,5.017990,27.501561,16.117652,8.501567
2022-09-12,WG,125.627084,5.021073,-0.013903,0.003019,0.020557
2022-09-12,LINDE,137.454125,5.016136,27.497686,16.120865,8.499641
2022-09-12,WG,149.636029,5.022782,-0.026426,-0.016316,-0.001580
2022-09-12,LINDE,161.962433,5.016948,27.483631,16.095187,8.473294
2022-09-12,WG,173.541361,5.018063,-0.035650,-0.026711,-0.022339
2022-09-12,LINDE,185.635842,5.012072,27.477642,16.099230,8.465206
2022-09-12,WG,198.147467,5.014054,-0.050597,-0.026323,-0.033660
2022-09-12,LINDE,210.287223,5.018551,27.466051,16.096218,8.455095
2022-09-12,WG,222.517016,5.015762,-0.034707,-0.018077,-0.025408
2022-09-12,LINDE,234.777476,5.013628,27.491438,16.100214,8.461062
2022-09-12,WG,246.527425,5.019626,-0.012140,-0.010187,-0.015978
2022-09-12,LINDE,258.374251,5.013094,27.509106,16.110477,8.472899
2022-09-12,WG,270.615468,5.016156,-0.005393,-0.011956,-0.013805
2022-09-12,LINDE,282.550431,5.017473,27.508541,16.101764,8.471468
2022-09-12,WG,294.761545,5.014515,-0.010800,-0.016325,-0.010992
2022-09-12,LINDE,306.903159,5.019780,27.514317,16.101109,8.470344
2022-09-12,WG,318.809073,5.019162,-0.012911,-0.023645,-0.019149
2022-09-12,LINDE,331.056918,5.016180,27.493020,16.095630,8.457621
2022-09-12,WG,342.754461,5.021217,-0.027196,-0.022119,-0.036540
2022-09-12,LINDE,355.051071,5.018788,27.502891,16.113813,8.464739
2022-09-12,WG,367.364038,5.018322,-0.020240,-0.012044,-0.037176
2022-09-12,LINDE,379.173374,5.017982,27.490103,16.100199,8.434397
2022-09-12,WG,391.286495,5.019448,-0.019885,-0.018175,-0.043258
2022-09-12,LINDE,403.574474,5.011053,27.507790,16.114553,8.454490
2022-09-12,WG,415.951066,5.020326,0.003346,0.005210,-0.018515
2022-09-12,LINDE,428.185669,5.015911,27.509351,16.117998,8.462912
2022-09-12,WG,440.318391,5.021888,-0.009479,-0.011271,-0.025183
2022-09-12,LINDE,452.564749,5.019476,27.512031,16.113636,8.467257
2022-09-12,WG,464.544411,5.014823,0.012135,0.008652,0.005155
2022-09-12,LINDE,476.709755,5.016959,27.526137,16.125818,8.488757
