Run,Sample,P,d636,d628,d627,d626b
2022-10-13,MIX_NH,4.997438,27.531000,15.748779,8.219736,0.044819
2022-10-13,HAWAI,4.995737,27.540175,33.405410,17.416810,0.063271
2022-10-13,NEEM,4.996187,27.602094,-1.167664,-0.598712,0.427483
2022-10-13,OC4,4.995974,27.667277,-22.921325,-12.140551,0.117506
2022-10-13,MIX_ONH,4.998655,27.535904,11.147231,5.772402,0.021566
2022-10-13,MIX_OH,4.996299,27.580532,5.422623,2.739649,0.095555
2022-10-13,LINDE,4.997685,27.514742,16.172583,8.506055,0.202502
2022-10-13,NEEM,4.996678,27.243056,-1.939033,-1.003898,0.028239
2022-10-13,MIX_ONH,4.995529,27.558575,10.846012,5.608886,0.032221
2022-10-13,LINDE,4.997712,27.497612,16.143360,8.490200,0.065140
2022-10-13,HAWAI,4.997756,27.451085,33.199695,17.295331,1.411240
2022-10-13,MIX_NH,4.999305,27.540048,15.753029,8.215848,-0.023213
2022-10-13,MIX_OH,4.995590,27.615998,5.032028,2.525668,0.058389
2022-10-13,OC4,4.995901,27.636311,-22.942792,-12.148900,0.130955
2022-10-18,OC4,4.995244,27.636573,-22.949471,-12.144129,0.224578
2022-10-18,HAWAI,4.995920,27.523279,33.226500,17.324933,0.172869
2022-10-18,NEEM,4.996000,27.597544,-1.213328,-0.622890,0.136359
2022-10-18,MIX_OH,4.997175,27.610851,5.345113,2.695611,0.103366
2022-10-18,MIX_ONH,4.997452,27.577062,10.517058,5.446062,0.031740
2022-10-18,MIX_NH,4.998847,27.531869,16.271597,8.490061,0.053388
2022-10-18,HAWAI,4.997690,27.489005,33.252562,17.336105,0.018793
2022-10-18,MIX_OH,4.995725,27.593339,5.649441,2.849418,0.054936
2022-10-18,OC4,4.998434,27.641765,-22.902310,-12.135337,0.381133
2022-10-18,NEEM,4.999541,27.612266,-1.232995,-0.633664,0.248560
2022-10-18,MIX_NH,4.995660,27.542219,16.206651,8.452903,0.344569
2022-10-25,OC4,4.999119,27.642694,-22.875278,-12.115496,0.166822
2022-10-25,NEEM,4.998906,27.586685,-1.227245,-0.632271,0.124571
2022-10-25,MIX_ONH,4.998855,27.596822,10.591563,5.479864,0.170112
2022-10-25,MIX_OH,4.995924,27.582475,5.009633,2.517287,0.128906
2022-10-25,MIX_NH,4.996004,27.504006,16.320684,8.468904,1.254666
2022-10-25,HAWAI,4.995687,27.536376,33.366016,17.406863,-0.022856
2022-10-25,MIX_OH,4.999355,27.601460,5.064193,2.547496,0.102781
2022-10-25,MIX_ONH,4.998213,27.565690,10.581485,5.474396,0.008978
2022-10-25,HAWAI,4.997493,27.549387,33.339580,17.390225,0.003607
2022-10-25,OC4,4.998259,27.678957,-22.989975,-12.179748,0.129018
2022-10-25,NEEM,4.995594,27.580777,-1.215261,-0.616467,0.101652
2022-10-27,LINDE,5.009632,27.537939,16.160354,8.513610,-0.067932
2022-10-27,LINDE,5.012169,27.531194,16.160361,8.506840,-0.065648
