d18,d17,D17
-0.246979,-0.125214,0.003648
0.072750,0.034227,-0.003368
0.165422,0.086140,-0.000894
0.021803,0.010327,-0.001273
0.411802,0.216602,0.001172
0.169295,0.094017,0.005192
-0.608278,-0.320038,0.000065
0.109673,0.052686,-0.004643
-0.242716,-0.129112,-0.002398
-0.222481,-0.120488,-0.003769
0.000271,0.001958,0.001828
-0.006428,0.006740,0.010237
-0.106701,-0.057875,-0.002569
0.119620,0.061902,-0.001033
0.091550,0.049871,0.001843
-0.220276,-0.110537,0.004663
0.277419,0.145773,0.000982
-0.080560,-0.046675,-0.004856
0.396798,0.204055,-0.004010
0.040876,0.015554,-0.006223
0.099894,0.051102,-0.001452
0.212277,0.108524,-0.002231
0.067989,0.035443,-0.000704
0.105661,0.052498,-0.003084
-0.145545,-0.076652,-0.000501
-0.244944,-0.128889,-0.000411
0.033237,0.024256,0.006896
-0.190219,-0.098606,0.001156
-0.155654,-0.082133,-0.000691
0.006721,0.007577,0.004010
-0.047054,-0.028966,-0.003984
0.117681,0.068341,0.006398
