Session,Run,UID,Sample,P,d636,d628,d627,d626b,H2O_to_CO2
2023-10,2023-10-24,4CC8F6B6,VSMOW2,4.998647,27.607334,32.850394,17.123121,-0.543197,292
2023-10,2023-10-24,9606B4C1,C13D-SLAP2,4.999220,2.303867,-24.789795,-13.129843,-0.292225,340
2023-10,2023-10-24,C597EBCD,SLAP2,4.996191,27.769294,-24.497055,-12.979843,-0.436060,387
2023-10,2023-10-24,54E74903,C13D-VSMOW2,4.995846,2.191753,32.826093,17.107624,-0.567124,438
2023-10,2023-10-25,F7C6C21A,VSMOW2,4.997088,27.591419,32.922424,17.170689,-0.613317,450
2023-10,2023-10-25,B737BA0C,C13D-VSMOW2,4.997861,2.145741,32.750067,17.080090,-0.623639,387
2023-10,2023-10-25,4C108957,SLAP2,5.001245,27.735806,-24.458425,-12.963082,-0.283406,347
2023-10,2023-10-25,232CD979,C13D-SLAP2,4.998256,2.342984,-24.219221,-12.826641,-0.176360,340
2023-10,2023-10-25,BDA9EDED,C13D-VSMOW2,4.997226,2.202168,32.769270,17.087506,-0.418125,387
2023-10,2023-10-25,9606D73A,VSMOW2,5.000152,27.589716,32.862559,17.141047,-0.351208,340
2023-10,2023-10-25,86B55832,SLAP2,5.001309,27.747576,-24.372522,-12.909027,-0.265060,340
2023-10,2023-10-26,4058E8E4,SLAP2,4.999394,27.786913,-24.427929,-12.942711,-0.336273,347
2023-10,2023-10-26,21D0221E,C13D-SLAP2,4.997818,2.316097,-24.790958,-13.142999,-0.252800,396
2023-10,2023-10-26,4E1134B0,VSMOW2,4.999587,27.611303,32.883211,17.157806,-0.398117,347
2023-10,2023-10-26,B6014DC3,C13D-VSMOW2,4.997900,2.213888,32.811846,17.115163,-0.561682,387
2023-10,2023-10-27,D3B6420E,C13D-VSMOW2,4.997149,2.194840,32.785072,17.099674,-0.388809,387
2023-10,2023-10-27,611610F6,C13D-SLAP2,4.995397,2.322758,-24.335899,-12.896879,-0.315380,438
2023-10,2023-10-27,C523437C,C13D-SLAP2,4.996041,2.345869,-24.824531,-13.139154,-0.327482,340
2023-10,2023-10-27,1083C7A5,VSMOW2,4.996990,27.567776,32.869028,17.137679,-0.500509,438
2023-10,2023-10-27,4DFEBF34,SLAP2,4.996399,27.722458,-24.500693,-12.976446,-0.211832,450
2023-10,2023-10-27,34EADC52,C13D-VSMOW2,4.996166,2.206467,32.836278,17.129620,-0.372546,520
2023-12,2023-12-05,DC225C00,VSMOW2,4.998485,27.553401,32.853479,17.132213,-0.274520,416
2023-12,2023-12-05,1C050F4E,SLAP2,4.996811,27.684602,-24.701613,-13.065838,-0.137852,416
2023-12,2023-12-05,9C4338EC,VSMOW2,4.994934,27.540201,32.874391,17.155603,-0.398408,416
2023-12,2023-12-05,E1D6CACD,SLAP2,4.997280,27.758642,-24.671524,-13.062083,-0.030132,416
2023-12,2023-12-05,FA87ADF7,SLAP2,4.995147,27.699629,-24.734317,-13.092924,0.265024,416
2023-12,2023-12-05,62E275AA,VSMOW2,4.997142,27.567839,32.791139,17.106383,-0.292880,416
2023-12,2023-12-06,CFC2246C,SLAP2,4.995965,27.711910,-24.709751,-13.075034,-0.060385,416
2023-12,2023-12-06,7C83E50F,VSMOW2,4.995390,27.520962,32.846234,17.126428,-0.219354,416
2023-12,2023-12-06,8D97F072,dCO2,5.002371,2.089672,2.102519,1.098431,0.019301,
2023-12,2023-12-06,07476F5B,SLAP2,4.996675,27.730911,-24.697262,-13.079403,0.040205,416
2023-12,2023-12-06,833D54CF,VSMOW2,4.996786,27.602525,32.866664,17.169652,-0.207882,416
2023-12,2023-12-06,82D8E05F,dCO2,5.002737,2.106743,2.208603,1.153101,0.010461,
2023-12,2023-12-06,B1F9139C,SLAP2,4.993995,27.680239,-24.740737,-13.086436,-0.121096,416
2023-12,2023-12-06,02335A6B,VSMOW2,4.998735,27.529394,32.840803,17.131920,-0.212031,416
