[197]    Postulated Δ17O_VSMOW value of SLAP = 0 ‰
[ 51]    Δ17O correction is +1.1 ppm for CO2 equilibrated with VSMOW2_x340.
[ 51]    Δ17O correction is -3.5 ppm for CO2 equilibrated with SLAP2_x340.
[ 51]    Δ17O correction is -3.1 ppm for CO2 equilibrated with SLAP2_x387.
[ 51]    Δ17O correction is +1.3 ppm for CO2 equilibrated with VSMOW2_x292.
[ 51]    Δ17O correction is +0.9 ppm for CO2 equilibrated with VSMOW2_x416.
[ 51]    Δ17O correction is -2.9 ppm for CO2 equilibrated with SLAP2_x416.
[ 51]    Δ17O correction is +0.9 ppm for CO2 equilibrated with VSMOW2_x438.
[ 51]    Δ17O correction is -2.6 ppm for CO2 equilibrated with SLAP2_x450.
[ 51]    Δ17O correction is +1.1 ppm for CO2 equilibrated with VSMOW2_x347.
[ 51]    Δ17O correction is -3.4 ppm for CO2 equilibrated with SLAP2_x347.
[ 51]    Δ17O correction is +0.8 ppm for CO2 equilibrated with VSMOW2_x450.
[ 51]    Δ17O correction is +1.0 ppm for CO2 equilibrated with C13D-VSMOW2_x387.
[ 51]    Δ17O correction is +0.9 ppm for CO2 equilibrated with C13D-VSMOW2_x438.
[ 51]    Δ17O correction is -1.9 ppm for CO2 equilibrated with C13D-SLAP2_x396.
[ 51]    Δ17O correction is -1.7 ppm for CO2 equilibrated with C13D-SLAP2_x438.
[ 51]    Δ17O correction is +0.8 ppm for CO2 equilibrated with C13D-VSMOW2_x520.
[ 51]    Δ17O correction is -2.2 ppm for CO2 equilibrated with C13D-SLAP2_x340.
