Sample,N,d18O_VSMOW,SD_d18O_VSMOW,SE_d18O_VSMOW,95CL_d18O_VSMOW,d17O_VSMOW,SD_d17O_VSMOW,SE_d17O_VSMOW,95CL_d17O_VSMOW,D17O_VSMOW,SD_D17O_VSMOW,SE_D17O_VSMOW,95CL_D17O_VSMOW
C13D-SLAP2_x340,3,-16.2720,0.3408,0.0193,0.0397,-8.7628,0.1782,0.0111,0.0228,-0.1392,0.0055,0.0034,0.0070
C13D-SLAP2_x396,1,-16.4448,nan,0.0289,0.0595,-8.8545,nan,0.0000,0.0000,-0.1388,nan,0.0034,0.0070
C13D-SLAP2_x438,1,-15.9904,nan,0.0289,0.0594,-8.6125,nan,0.0000,0.0000,-0.1387,nan,0.0034,0.0070
C13D-VSMOW2_x387,4,41.2658,0.0262,0.0177,0.0365,21.4399,0.0154,0.0100,0.0206,-0.1375,0.0023,0.0032,0.0067
C13D-VSMOW2_x438,1,41.3185,nan,0.0289,0.0594,21.4670,nan,0.0000,0.0000,-0.1376,nan,0.0032,0.0067
C13D-VSMOW2_x520,1,41.3210,nan,0.0289,0.0594,21.4682,nan,0.0000,0.0000,-0.1378,nan,0.0032,0.0067
SLAP2_x340,1,-16.0898,0.0000,-,-,-8.6681,0.0000,-,-,-0.1413,0.0000,-,-
SLAP2_x347,2,-16.0948,0.0153,-,-,-8.6707,0.0102,-,-,-0.1413,0.0021,-,-
SLAP2_x387,1,-16.1200,0.0000,-,-,-8.6837,0.0000,-,-,-0.1409,0.0000,-,-
SLAP2_x416,6,-16.1353,0.0232,-,-,-8.6916,0.0108,-,-,-0.1407,0.0061,-,-
SLAP2_x450,1,-16.1506,0.0000,-,-,-8.6996,0.0000,-,-,-0.1405,0.0000,-,-
VSMOW2_x292,1,41.3428,0.0000,-,-,21.4807,0.0000,-,-,-0.1365,0.0000,-,-
VSMOW2_x340,1,41.3594,0.0000,-,-,21.4891,0.0000,-,-,-0.1367,0.0000,-,-
VSMOW2_x347,1,41.3614,0.0000,-,-,21.4902,0.0000,-,-,-0.1368,0.0000,-,-
VSMOW2_x416,5,41.3779,0.0275,-,-,21.4985,0.0157,-,-,-0.1369,0.0051,-,-
VSMOW2_x438,1,41.3821,0.0000,-,-,21.5007,0.0000,-,-,-0.1370,0.0000,-,-
VSMOW2_x450,1,41.3842,0.0000,-,-,21.5017,0.0000,-,-,-0.1370,0.0000,-,-
dCO2,2,10.7121,0.0750,0.0203,0.0418,5.5030,0.0386,0.0118,0.0243,-0.1380,0.0007,0.0041,0.0085
