Session,Run,UID,Sample,P,d636,d628,d627,d626b,H2O_to_CO2
2023-03a,2023-03-14a,3F5EFC5D,LINDE,5.010772,27.587622,16.034151,8.418730,-0.156139,
2023-03a,2023-03-14a,ED0390AF,GRESP,4.997456,27.620586,-1.775175,-0.930813,-0.155656,416
2023-03a,2023-03-14a,2259B1D6,SLAP2,4.996678,27.708865,-24.671453,-13.064367,-0.050212,416
2023-03a,2023-03-14a,75BC2690,SLAP2,4.997312,27.612572,-24.643193,-13.042065,0.147425,416
2023-03a,2023-03-14a,1C3BDDD4,NBS-19,4.997278,33.422294,28.679063,14.977026,2.504343,
2023-03a,2023-03-14a,72B3AED7,NBS-18,4.997408,26.045250,7.045685,3.730136,1.290645,
2023-03a,2023-03-14a,B81FE53B,IAEA-612,4.996346,-6.471858,18.295358,9.641518,0.315294,
2023-03a,2023-03-14a,95156507,IAEA-611,4.997669,-0.315316,26.535227,13.898043,0.729382,
2023-03a,2023-03-14a,8FC4A68B,IAEA-610,4.996789,21.866292,11.429318,6.045621,0.517471,
2023-03a,2023-03-14a,5BE566A1,IAEA-603,4.996627,33.905025,28.396849,14.835087,2.337908,
2023-03a,2023-03-14a,823810D4,SLAP2,4.997744,27.693166,-24.650627,-13.053226,-0.058984,416
2023-03a,2023-03-14b,C4EE9D70,IAEA-610,4.995852,22.059782,11.400702,6.040877,0.313230,
2023-03a,2023-03-14b,7C152E42,VSMOW2,4.995043,27.516395,32.802508,17.111530,-0.156665,416
2023-03a,2023-03-14b,D5A00735,IAEA-611,4.994608,-0.218891,26.310878,13.782976,1.172970,
2023-03a,2023-03-14b,88A679C9,IAEA-612,4.995047,-6.463951,18.397919,9.686832,0.943578,
2023-03a,2023-03-14b,4A0682CC,VSMOW2,4.994847,27.534774,32.792405,17.109810,0.306131,416
2023-03a,2023-03-14b,CBB28908,NBS-19,4.996302,33.298621,28.678921,14.975805,1.075003,
2023-03a,2023-03-14b,3CF09497,NBS-18,4.997370,26.104677,6.988646,3.689104,1.493711,
2023-03a,2023-03-14c,7ABDA53A,SLAP2,4.994883,27.680944,-24.548185,-13.000642,0.164720,416
2023-03b,2023-03-15,AB407949,IAEA-612,4.995308,-6.430352,18.421434,9.686429,0.693294,
2023-03b,2023-03-15,F166686E,IAEA-610,4.995626,21.909100,11.294433,5.972557,0.216242,
2023-03b,2023-03-15,DC7BBF2B,IAEA-603,4.996571,33.875881,28.286939,14.760717,1.156820,
2023-03b,2023-03-15,36329CAC,IAEA-611,4.996022,-0.188573,26.321161,13.789668,0.489158,
2023-03b,2023-03-15,9A55CFC2,VSMOW2,4.996021,27.526833,32.945928,17.179657,-0.407598,416
2023-03b,2023-03-15,DFC25593,NBS-18,4.996786,26.495838,7.572537,4.001199,1.363220,
2023-03b,2023-03-15,A9F6D38E,SLAP2,4.995935,27.667006,-24.641368,-13.055216,-0.046381,416
2023-03b,2023-03-15,98039C54,NBS-19,4.996086,33.421388,28.662347,14.961529,1.205594,
2023-03b,2023-03-15,E1C18DB9,GRESP,4.993961,27.583562,-1.757040,-0.909062,1.473914,416
2023-03b,2023-03-15,41B10992,GRESP,4.996506,27.630588,-1.800080,-0.931759,-0.217303,416
2023-03b,2023-03-15,A4753AD2,VSMOW2,4.996829,27.498743,32.846584,17.100386,-0.861696,416
2023-03b,2023-03-15,7FA354D1,NBS-18,4.996584,26.279630,7.012546,3.706469,1.591543,
2023-03b,2023-03-15,FFE381E9,IAEA-603,4.997458,33.921589,28.344230,14.814504,0.166770,
2023-03b,2023-03-15,42BB77BC,IAEA-611,4.995890,-0.200487,26.341239,13.790407,0.426908,
2023-03b,2023-03-15,44CF22AA,IAEA-612,4.994508,-6.477769,18.308285,9.641343,1.890343,
2023-03b,2023-03-15,E572839D,IAEA-610,4.996125,22.035240,11.363210,6.011292,1.043777,
2023-03b,2023-03-15,BBE17D31,GRESP,4.994065,27.613418,-1.714892,-0.868470,0.395301,416
2023-03b,2023-03-16a,D4A5EC11,SLAP2,4.993851,27.650765,-24.633787,-13.052524,-0.319980,416
2023-03b,2023-03-16a,E21FE921,IAEA-612,4.995176,-6.470685,18.334271,9.645437,0.831843,
2023-03b,2023-03-16a,FA35DD82,IAEA-611,4.995537,-0.316904,26.527414,13.893834,0.680848,
2023-03b,2023-03-16a,D637E974,IAEA-610,4.995586,22.149626,11.456692,6.072857,1.094929,
2023-03b,2023-03-16a,29B1C2F3,IAEA-603,4.995984,33.883033,28.291128,14.771449,1.057854,
2023-03b,2023-03-16a,02F34EFA,GRESP,4.996112,27.633275,-1.801604,-0.917236,2.043706,416
2023-03b,2023-03-16b,278BE4C4,GRESP,4.993771,27.599528,-1.786129,-0.916187,-0.294726,416
2023-03b,2023-03-16b,27B7345E,NBS-19,4.996096,33.421747,28.667755,14.970752,-0.328565,
2023-03c,2023-03-17,81C5A461,VSMOW2,4.993190,27.619894,32.803515,17.119185,-0.073749,416
2023-03c,2023-03-17,FB1BB28B,IAEA-603,4.994950,33.890329,28.310109,14.794351,0.732348,
2023-03c,2023-03-17,3EF55BF4,IAEA-610,4.995281,21.844297,11.484848,6.085387,1.870640,
2023-03c,2023-03-17,F7D7E2B3,IAEA-611,4.996017,-0.226219,26.369411,13.810588,0.973099,
2023-03c,2023-03-17,E6A60692,IAEA-612,4.996373,-6.437513,18.387814,9.679297,0.254326,
2023-03c,2023-03-17,6A562B31,NBS-18,4.995823,26.274086,6.952999,3.673314,0.501844,
2023-03c,2023-03-17,A612BFCF,IAEA-603,4.995351,33.939048,28.395651,14.844193,1.206491,
2023-03c,2023-03-17,1F0179A1,VSMOW2,4.993615,27.511999,32.853677,17.136277,-0.345420,416
2023-03c,2023-03-17,920B7F76,NBS-18,4.995284,26.252928,6.953246,3.687910,1.953673,
2023-03c,2023-03-17,82B43A6D,IAEA-603,4.995585,33.934090,28.397355,14.838282,1.563931,
2023-03c,2023-03-17,623094D1,SLAP2,4.996783,27.675459,-24.557560,-12.993541,-0.001714,416
2023-06,2023-06-22,A18308B5,IAEA-603,4.997200,33.956379,28.271271,14.789062,1.071670,
2023-06,2023-06-22,30DB023B,VSMOW2,5.002680,27.530723,32.703415,17.075171,0.121424,208
2023-06,2023-06-22,2EC2EA33,SLAP2,4.997185,27.690551,-24.489248,-12.950224,0.023199,208
2023-06,2023-06-22,927F2D62,NBS-18,4.997047,26.324050,7.321377,3.905929,2.813443,
2023-06,2023-06-23,01EFB792,NBS-18,4.998322,26.297052,7.347419,3.888858,2.310008,
2023-06,2023-06-23,24F71158,VSMOW2,5.002072,27.529997,32.713713,17.074955,-0.073973,208
2023-06,2023-06-23,524D40E9,IAEA-603,4.997481,33.980233,28.376053,14.863271,0.524170,
2023-06,2023-06-23,82DD7938,SLAP2,5.002531,27.656083,-24.343837,-12.855526,0.432526,208
2023-06,2023-06-26,52E771C8,IAEA-603,4.997683,33.872887,28.032718,14.666292,3.286751,
2023-06,2023-06-26,446A7359,SLAP2,5.001890,27.672198,-24.332624,-12.857491,0.338534,208
2023-06,2023-06-26,761341A4,NBS-18,4.996733,26.328706,7.487442,3.995582,2.846279,
2023-06,2023-06-26,B412DBEE,VSMOW2,4.997653,27.526132,32.766963,17.115651,-0.039233,208
2023-06,2023-06-26,52ABB140,SLAP2,4.998114,27.690515,-24.378822,-12.880101,0.158148,208
2023-06,2023-06-26,2A97AD54,VSMOW2,4.997074,27.523100,32.798082,17.123976,-0.004400,208
2023-08,2023-07-31,0A3211B8,NBS-18,4.996827,26.236633,7.253173,3.842053,0.132824,
2023-08,2023-07-31,1A76BC5C,IAEA-603,4.996674,33.860564,28.170159,14.704806,0.742675,
2023-08,2023-07-31,16B8354D,VSMOW2,5.001672,27.512928,32.739296,17.079413,-0.522177,208
2023-08,2023-07-31,33AE3EAD,SLAP2,5.001657,27.648215,-24.370060,-12.901154,-0.228034,208
