Sample	Tacid	D17O	D17O_normalized	eD17O	D17O_of_SLAP	Ref

NBS19	25	-0.182	-0.182	0.012	0.0	Barkan et al. (2019)
NBS18	25	-0.163	-0.163	0.010	0.0	Barkan et al. (2019)
IAEA603	25	-0.194	-0.194	0.010	0.0	Barkan et al. (2019)

NBS19	90	-0.135	-0.135	0.024	0.0	Passey et al. (2014)
NBS18	90	-0.098	-0.098	0.028	0.0	Passey et al. (2014)

NBS19	90	-0.143	-0.143	0.010	0.0	Passey & Ji (2019)
NBS18	90	-0.088	-0.088	0.014	0.0	Passey & Ji (2019)

NBS19	25	-0.169	-0.169	0.010	0.0	Fosu et al. (2020)
NBS18	25	-0.119	-0.119	0.008	0.0	Fosu et al. (2020)

NBS19	25	-0.155	-0.155	0.003	-0.015	Wostbrock et al. (2020)
NBS19		-0.102	-0.102	0.006	-0.015	Wostbrock et al. (2020)
NBS18	25	-0.100	-0.100		-0.015	Wostbrock et al. (2020)
NBS18		-0.048	-0.048	0.010	-0.015	Wostbrock et al. (2020)
IAEA603	25	-0.147	-0.147	0.010	-0.015	Wostbrock et al. (2020)
IAEA603		-0.100	-0.100	0.006	-0.015	Wostbrock et al. (2020)

NBS18	25	-0.225	-0.163	0.003	0.0	Sha et al. (2020)
IAEA603	25	-0.267	-0.194	0.005	0.0	Sha et al. (2020)

NBS19	70	-0.237	-0.150	0.022	-0.015	Hare et al. (2022)*
NBS18	70	-0.081	-0.099	0.010	-0.015	Hare et al. (2022)*
IAEA603	70	-0.218	-0.151	0.004	-0.015	Hare et al. (2022)*

NBS18		-0.033	-0.033	0.010	-0.011	Ellis & Passey (2023)
IAEA603		-0.082	-0.082	0.010	-0.011	Ellis & Passey (2023)

NBS19	25	-0.169	-0.159	0.020	-0.015	Perdue et al. (2022)*
NBS18	25	-0.069	-0.081	0.010	-0.015	Perdue et al. (2022)*
IAEA603	25	-0.159	-0.150	0.018	-0.015	Perdue et al. (2022)*
